time | phase | epoch | batch | work | done | ETA | loss | card@1 | zone | tile | timing
-----+-------+-------+-------+------+------+-----+------+--------+------+------+-------
15:52:22 | 4.4 | 1/10 | 1/4966 |   0.00% | 512/25,423,800 | 16h48m | 8.780 | — | — | — | —
15:52:27 | 4.4 | 1/10 | 25/4966 |   0.05% | 12,800/25,423,800 | 3h28m | 8.214 | — | — | — | —
15:52:33 | 4.4 | 1/10 | 50/4966 |   0.10% | 25,600/25,423,800 | 3h10m | 7.891 | — | — | — | —
15:52:38 | 4.4 | 1/10 | 75/4966 |   0.15% | 38,400/25,423,800 | 3h05m | 7.568 | — | — | — | —
15:52:43 | 4.4 | 1/10 | 100/4966 |   0.20% | 51,200/25,423,800 | 3h02m | 7.497 | — | — | — | —
15:52:49 | 4.4 | 1/10 | 125/4966 |   0.25% | 64,000/25,423,800 | 3h02m | 7.168 | — | — | — | —
15:52:54 | 4.4 | 1/10 | 150/4966 |   0.30% | 76,800/25,423,800 | 3h02m | 7.211 | — | — | — | —
15:53:00 | 4.4 | 1/10 | 175/4966 |   0.35% | 89,600/25,423,800 | 3h04m | 7.224 | — | — | — | —
15:53:06 | 4.4 | 1/10 | 200/4966 |   0.40% | 102,400/25,423,800 | 3h04m | 7.135 | — | — | — | —
15:53:12 | 4.4 | 1/10 | 225/4966 |   0.45% | 115,200/25,423,800 | 3h06m | 6.985 | — | — | — | —
15:53:18 | 4.4 | 1/10 | 250/4966 |   0.50% | 128,000/25,423,800 | 3h05m | 6.962 | — | — | — | —
15:53:23 | 4.4 | 1/10 | 275/4966 |   0.55% | 140,800/25,423,800 | 3h06m | 6.848 | — | — | — | —
15:53:29 | 4.4 | 1/10 | 300/4966 |   0.60% | 153,600/25,423,800 | 3h04m | 6.840 | — | — | — | —
15:53:34 | 4.4 | 1/10 | 325/4966 |   0.65% | 166,400/25,423,800 | 3h03m | 6.872 | — | — | — | —
15:53:39 | 4.4 | 1/10 | 350/4966 |   0.70% | 179,200/25,423,800 | 3h02m | 6.809 | — | — | — | —
15:53:44 | 4.4 | 1/10 | 375/4966 |   0.76% | 192,000/25,423,800 | 3h01m | 6.790 | — | — | — | —
15:53:49 | 4.4 | 1/10 | 400/4966 |   0.81% | 204,800/25,423,800 | 3h00m | 6.655 | — | — | — | —
15:53:55 | 4.4 | 1/10 | 425/4966 |   0.86% | 217,600/25,423,800 | 3h00m | 6.568 | — | — | — | —
15:54:01 | 4.4 | 1/10 | 450/4966 |   0.91% | 230,400/25,423,800 | 3h01m | 6.753 | — | — | — | —
15:54:07 | 4.4 | 1/10 | 475/4966 |   0.96% | 243,200/25,423,800 | 3h02m | 6.560 | — | — | — | —
15:54:12 | 4.4 | 1/10 | 500/4966 |   1.01% | 256,000/25,423,800 | 3h01m | 6.680 | — | — | — | —
15:54:17 | 4.4 | 1/10 | 525/4966 |   1.06% | 268,800/25,423,800 | 3h01m | 6.625 | — | — | — | —
15:54:23 | 4.4 | 1/10 | 550/4966 |   1.11% | 281,600/25,423,800 | 3h00m | 6.316 | — | — | — | —
15:54:28 | 4.4 | 1/10 | 575/4966 |   1.16% | 294,400/25,423,800 | 3h00m | 6.508 | — | — | — | —
15:54:33 | 4.4 | 1/10 | 600/4966 |   1.21% | 307,200/25,423,800 | 3h00m | 6.598 | — | — | — | —
15:54:39 | 4.4 | 1/10 | 625/4966 |   1.26% | 320,000/25,423,800 | 3h00m | 6.497 | — | — | — | —
15:54:45 | 4.4 | 1/10 | 650/4966 |   1.31% | 332,800/25,423,800 | 3h00m | 6.531 | — | — | — | —
15:54:50 | 4.4 | 1/10 | 675/4966 |   1.36% | 345,600/25,423,800 | 3h00m | 6.418 | — | — | — | —
15:54:55 | 4.4 | 1/10 | 700/4966 |   1.41% | 358,400/25,423,800 | 2h59m | 6.505 | — | — | — | —
15:55:01 | 4.4 | 1/10 | 725/4966 |   1.46% | 371,200/25,423,800 | 2h59m | 6.276 | — | — | — | —
15:55:06 | 4.4 | 1/10 | 750/4966 |   1.51% | 384,000/25,423,800 | 2h59m | 6.239 | — | — | — | —
15:55:12 | 4.4 | 1/10 | 775/4966 |   1.56% | 396,800/25,423,800 | 2h59m | 6.349 | — | — | — | —
15:55:18 | 4.4 | 1/10 | 800/4966 |   1.61% | 409,600/25,423,800 | 2h59m | 6.238 | — | — | — | —
15:55:24 | 4.4 | 1/10 | 825/4966 |   1.66% | 422,400/25,423,800 | 3h00m | 6.391 | — | — | — | —
15:55:29 | 4.4 | 1/10 | 850/4966 |   1.71% | 435,200/25,423,800 | 2h59m | 6.307 | — | — | — | —
15:55:34 | 4.4 | 1/10 | 875/4966 |   1.76% | 448,000/25,423,800 | 2h59m | 6.294 | — | — | — | —
15:55:39 | 4.4 | 1/10 | 900/4966 |   1.81% | 460,800/25,423,800 | 2h59m | 6.333 | — | — | — | —
15:55:45 | 4.4 | 1/10 | 925/4966 |   1.86% | 473,600/25,423,800 | 2h58m | 6.161 | — | — | — | —
15:55:50 | 4.4 | 1/10 | 950/4966 |   1.91% | 486,400/25,423,800 | 2h58m | 6.246 | — | — | — | —
15:55:56 | 4.4 | 1/10 | 975/4966 |   1.96% | 499,200/25,423,800 | 2h58m | 6.232 | — | — | — | —
15:56:02 | 4.4 | 1/10 | 1000/4966 |   2.01% | 512,000/25,423,800 | 2h58m | 6.237 | — | — | — | —
15:56:08 | 4.4 | 1/10 | 1025/4966 |   2.06% | 524,800/25,423,800 | 2h59m | 6.204 | — | — | — | —
15:56:14 | 4.4 | 1/10 | 1050/4966 |   2.11% | 537,600/25,423,800 | 2h59m | 6.110 | — | — | — | —
15:56:19 | 4.4 | 1/10 | 1075/4966 |   2.16% | 550,400/25,423,800 | 2h59m | 6.140 | — | — | — | —
15:56:24 | 4.4 | 1/10 | 1100/4966 |   2.22% | 563,200/25,423,800 | 2h58m | 6.172 | — | — | — | —
15:56:30 | 4.4 | 1/10 | 1125/4966 |   2.27% | 576,000/25,423,800 | 2h58m | 6.151 | — | — | — | —
15:56:35 | 4.4 | 1/10 | 1150/4966 |   2.32% | 588,800/25,423,800 | 2h58m | 5.925 | — | — | — | —
15:56:41 | 4.4 | 1/10 | 1175/4966 |   2.37% | 601,600/25,423,800 | 2h58m | 6.110 | — | — | — | —
15:56:46 | 4.4 | 1/10 | 1200/4966 |   2.42% | 614,400/25,423,800 | 2h58m | 6.043 | — | — | — | —
15:56:52 | 4.4 | 1/10 | 1225/4966 |   2.47% | 627,200/25,423,800 | 2h58m | 6.027 | — | — | — | —
15:56:57 | 4.4 | 1/10 | 1250/4966 |   2.52% | 640,000/25,423,800 | 2h57m | 6.145 | — | — | — | —
15:57:02 | 4.4 | 1/10 | 1275/4966 |   2.57% | 652,800/25,423,800 | 2h57m | 6.167 | — | — | — | —
15:57:08 | 4.4 | 1/10 | 1300/4966 |   2.62% | 665,600/25,423,800 | 2h57m | 6.044 | — | — | — | —
15:57:13 | 4.4 | 1/10 | 1325/4966 |   2.67% | 678,400/25,423,800 | 2h57m | 6.143 | — | — | — | —
