time | phase | epoch | batch | work | done | ETA | loss | card@1 | zone | tile | timing
01:02:23 | 4.2 | 1/10 | 1200/3927 |   3.06% | 614,400/20,102,200 | 2h10m | 3.683 | — | — | — | —
01:02:29 | 4.2 | 1/10 | 1225/3927 |   3.12% | 627,200/20,102,200 | 2h10m | 3.666 | — | — | — | —
01:02:34 | 4.2 | 1/10 | 1250/3927 |   3.18% | 640,000/20,102,200 | 2h10m | 3.740 | — | — | — | —
01:02:39 | 4.2 | 1/10 | 1275/3927 |   3.25% | 652,800/20,102,200 | 2h10m | 3.630 | — | — | — | —
01:02:44 | 4.2 | 1/10 | 1300/3927 |   3.31% | 665,600/20,102,200 | 2h09m | 3.657 | — | — | — | —
01:02:49 | 4.2 | 1/10 | 1325/3927 |   3.37% | 678,400/20,102,200 | 2h09m | 3.558 | — | — | — | —
01:02:54 | 4.2 | 1/10 | 1350/3927 |   3.44% | 691,200/20,102,200 | 2h09m | 3.554 | — | — | — | —
01:03:00 | 4.2 | 1/10 | 1375/3927 |   3.50% | 704,000/20,102,200 | 2h09m | 3.630 | — | — | — | —
01:03:05 | 4.2 | 1/10 | 1400/3927 |   3.57% | 716,800/20,102,200 | 2h09m | 3.592 | — | — | — | —
01:03:10 | 4.2 | 1/10 | 1425/3927 |   3.63% | 729,600/20,102,200 | 2h09m | 3.510 | — | — | — | —
01:03:15 | 4.2 | 1/10 | 1450/3927 |   3.69% | 742,400/20,102,200 | 2h09m | 3.735 | — | — | — | —
01:03:20 | 4.2 | 1/10 | 1475/3927 |   3.76% | 755,200/20,102,200 | 2h09m | 3.511 | — | — | — | —
01:03:25 | 4.2 | 1/10 | 1500/3927 |   3.82% | 768,000/20,102,200 | 2h09m | 3.676 | — | — | — | —
01:03:30 | 4.2 | 1/10 | 1525/3927 |   3.88% | 780,800/20,102,200 | 2h09m | 3.572 | — | — | — | —
01:03:35 | 4.2 | 1/10 | 1550/3927 |   3.95% | 793,600/20,102,200 | 2h09m | 3.662 | — | — | — | —
01:03:41 | 4.2 | 1/10 | 1575/3927 |   4.01% | 806,400/20,102,200 | 2h08m | 3.616 | — | — | — | —
01:03:46 | 4.2 | 1/10 | 1600/3927 |   4.07% | 819,200/20,102,200 | 2h08m | 3.592 | — | — | — | —
01:03:51 | 4.2 | 1/10 | 1625/3927 |   4.14% | 832,000/20,102,200 | 2h08m | 3.620 | — | — | — | —
01:03:56 | 4.2 | 1/10 | 1650/3927 |   4.20% | 844,800/20,102,200 | 2h08m | 3.518 | — | — | — | —
01:04:01 | 4.2 | 1/10 | 1675/3927 |   4.27% | 857,600/20,102,200 | 2h08m | 3.702 | — | — | — | —
01:04:06 | 4.2 | 1/10 | 1700/3927 |   4.33% | 870,400/20,102,200 | 2h08m | 3.512 | — | — | — | —
01:04:11 | 4.2 | 1/10 | 1725/3927 |   4.39% | 883,200/20,102,200 | 2h08m | 3.553 | — | — | — | —
01:04:16 | 4.2 | 1/10 | 1750/3927 |   4.46% | 896,000/20,102,200 | 2h08m | 3.502 | — | — | — | —
01:04:21 | 4.2 | 1/10 | 1775/3927 |   4.52% | 908,800/20,102,200 | 2h08m | 3.549 | — | — | — | —
01:04:27 | 4.2 | 1/10 | 1800/3927 |   4.58% | 921,600/20,102,200 | 2h08m | 3.679 | — | — | — | —
01:04:32 | 4.2 | 1/10 | 1825/3927 |   4.65% | 934,400/20,102,200 | 2h08m | 3.544 | — | — | — | —
01:04:37 | 4.2 | 1/10 | 1850/3927 |   4.71% | 947,200/20,102,200 | 2h07m | 3.509 | — | — | — | —
01:04:42 | 4.2 | 1/10 | 1875/3927 |   4.77% | 960,000/20,102,200 | 2h07m | 3.437 | — | — | — | —
01:04:47 | 4.2 | 1/10 | 1900/3927 |   4.84% | 972,800/20,102,200 | 2h07m | 3.539 | — | — | — | —
01:04:53 | 4.2 | 1/10 | 1925/3927 |   4.90% | 985,600/20,102,200 | 2h07m | 3.583 | — | — | — | —
01:04:58 | 4.2 | 1/10 | 1950/3927 |   4.97% | 998,400/20,102,200 | 2h07m | 3.516 | — | — | — | —
01:05:03 | 4.2 | 1/10 | 1975/3927 |   5.03% | 1,011,200/20,102,200 | 2h07m | 3.465 | — | — | — | —
01:05:08 | 4.2 | 1/10 | 2000/3927 |   5.09% | 1,024,000/20,102,200 | 2h07m | 3.470 | — | — | — | —
01:05:13 | 4.2 | 1/10 | 2025/3927 |   5.16% | 1,036,800/20,102,200 | 2h07m | 3.470 | — | — | — | —
01:05:18 | 4.2 | 1/10 | 2050/3927 |   5.22% | 1,049,600/20,102,200 | 2h07m | 3.548 | — | — | — | —
01:05:23 | 4.2 | 1/10 | 2075/3927 |   5.28% | 1,062,400/20,102,200 | 2h07m | 3.516 | — | — | — | —
01:05:28 | 4.2 | 1/10 | 2100/3927 |   5.35% | 1,075,200/20,102,200 | 2h07m | 3.626 | — | — | — | —
01:05:34 | 4.2 | 1/10 | 2125/3927 |   5.41% | 1,088,000/20,102,200 | 2h07m | 3.528 | — | — | — | —
01:05:39 | 4.2 | 1/10 | 2150/3927 |   5.47% | 1,100,800/20,102,200 | 2h07m | 3.412 | — | — | — | —
01:05:44 | 4.2 | 1/10 | 2175/3927 |   5.54% | 1,113,600/20,102,200 | 2h06m | 3.535 | — | — | — | —
01:05:49 | 4.2 | 1/10 | 2200/3927 |   5.60% | 1,126,400/20,102,200 | 2h06m | 3.437 | — | — | — | —
01:05:54 | 4.2 | 1/10 | 2225/3927 |   5.67% | 1,139,200/20,102,200 | 2h06m | 3.513 | — | — | — | —
01:05:59 | 4.2 | 1/10 | 2250/3927 |   5.73% | 1,152,000/20,102,200 | 2h06m | 3.497 | — | — | — | —
01:06:04 | 4.2 | 1/10 | 2275/3927 |   5.79% | 1,164,800/20,102,200 | 2h06m | 3.500 | — | — | — | —
01:06:10 | 4.2 | 1/10 | 2300/3927 |   5.86% | 1,177,600/20,102,200 | 2h06m | 3.548 | — | — | — | —
01:06:15 | 4.2 | 1/10 | 2325/3927 |   5.92% | 1,190,400/20,102,200 | 2h06m | 3.539 | — | — | — | —
01:06:20 | 4.2 | 1/10 | 2350/3927 |   5.98% | 1,203,200/20,102,200 | 2h06m | 3.508 | — | — | — | —
01:06:25 | 4.2 | 1/10 | 2375/3927 |   6.05% | 1,216,000/20,102,200 | 2h06m | 3.523 | — | — | — | —
01:06:30 | 4.2 | 1/10 | 2400/3927 |   6.11% | 1,228,800/20,102,200 | 2h06m | 3.480 | — | — | — | —
01:06:35 | 4.2 | 1/10 | 2425/3927 |   6.18% | 1,241,600/20,102,200 | 2h06m | 3.554 | — | — | — | —
01:06:40 | 4.2 | 1/10 | 2450/3927 |   6.24% | 1,254,400/20,102,200 | 2h06m | 3.478 | — | — | — | —
01:06:45 | 4.2 | 1/10 | 2475/3927 |   6.30% | 1,267,200/20,102,200 | 2h05m | 3.495 | — | — | — | —
01:06:51 | 4.2 | 1/10 | 2500/3927 |   6.37% | 1,280,000/20,102,200 | 2h05m | 3.434 | — | — | — | —
01:06:56 | 4.2 | 1/10 | 2525/3927 |   6.43% | 1,292,800/20,102,200 | 2h05m | 3.494 | — | — | — | —
01:07:01 | 4.2 | 1/10 | 2550/3927 |   6.49% | 1,305,600/20,102,200 | 2h05m | 3.453 | — | — | — | —
01:07:06 | 4.2 | 1/10 | 2575/3927 |   6.56% | 1,318,400/20,102,200 | 2h05m | 3.405 | — | — | — | —
01:07:11 | 4.2 | 1/10 | 2600/3927 |   6.62% | 1,331,200/20,102,200 | 2h05m | 3.446 | — | — | — | —
01:07:16 | 4.2 | 1/10 | 2625/3927 |   6.68% | 1,344,000/20,102,200 | 2h05m | 3.382 | — | — | — | —
01:07:22 | 4.2 | 1/10 | 2650/3927 |   6.75% | 1,356,800/20,102,200 | 2h05m | 3.516 | — | — | — | —
01:07:27 | 4.2 | 1/10 | 2675/3927 |   6.81% | 1,369,600/20,102,200 | 2h05m | 3.329 | — | — | — | —
01:07:32 | 4.2 | 1/10 | 2700/3927 |   6.88% | 1,382,400/20,102,200 | 2h05m | 3.408 | — | — | — | —
01:07:37 | 4.2 | 1/10 | 2725/3927 |   6.94% | 1,395,200/20,102,200 | 2h05m | 3.484 | — | — | — | —
01:07:42 | 4.2 | 1/10 | 2750/3927 |   7.00% | 1,408,000/20,102,200 | 2h05m | 3.475 | — | — | — | —
01:07:47 | 4.2 | 1/10 | 2775/3927 |   7.07% | 1,420,800/20,102,200 | 2h04m | 3.428 | — | — | — | —
01:07:52 | 4.2 | 1/10 | 2800/3927 |   7.13% | 1,433,600/20,102,200 | 2h04m | 3.504 | — | — | — | —
01:07:57 | 4.2 | 1/10 | 2825/3927 |   7.19% | 1,446,400/20,102,200 | 2h04m | 3.502 | — | — | — | —
01:08:03 | 4.2 | 1/10 | 2850/3927 |   7.26% | 1,459,200/20,102,200 | 2h04m | 3.393 | — | — | — | —
01:08:08 | 4.2 | 1/10 | 2875/3927 |   7.32% | 1,472,000/20,102,200 | 2h04m | 3.511 | — | — | — | —
01:08:13 | 4.2 | 1/10 | 2900/3927 |   7.38% | 1,484,800/20,102,200 | 2h04m | 3.468 | — | — | — | —
01:08:18 | 4.2 | 1/10 | 2925/3927 |   7.45% | 1,497,600/20,102,200 | 2h04m | 3.405 | — | — | — | —
01:08:23 | 4.2 | 1/10 | 2950/3927 |   7.51% | 1,510,400/20,102,200 | 2h04m | 3.449 | — | — | — | —
01:08:28 | 4.2 | 1/10 | 2975/3927 |   7.58% | 1,523,200/20,102,200 | 2h04m | 3.466 | — | — | — | —
01:08:33 | 4.2 | 1/10 | 3000/3927 |   7.64% | 1,536,000/20,102,200 | 2h04m | 3.386 | — | — | — | —
