time | phase | epoch | batch | work | done | ETA | loss | card@1 | zone | tile | timing
-----+-------+-------+-------+------+------+-----+------+--------+------+------+-------
01:58:58 | 4.4.2 | 1/9 | 1/2896 |   0.00% | 512/13,344,228 | 4h34m | 4.345 | — | — | — | —
01:59:04 | 4.4.2 | 1/9 | 25/2896 |   0.10% | 12,800/13,344,228 | 1h52m | 5.081 | — | — | — | —
01:59:10 | 4.4.2 | 1/9 | 50/2896 |   0.19% | 25,600/13,344,228 | 1h47m | 4.627 | — | — | — | —
01:59:16 | 4.4.2 | 1/9 | 75/2896 |   0.29% | 38,400/13,344,228 | 1h45m | 4.411 | — | — | — | —
01:59:22 | 4.4.2 | 1/9 | 100/2896 |   0.38% | 51,200/13,344,228 | 1h44m | 4.344 | — | — | — | —
01:59:28 | 4.4.2 | 1/9 | 125/2896 |   0.48% | 64,000/13,344,228 | 1h44m | 4.622 | — | — | — | —
01:59:33 | 4.4.2 | 1/9 | 150/2896 |   0.58% | 76,800/13,344,228 | 1h43m | 5.017 | — | — | — | —
01:59:39 | 4.4.2 | 1/9 | 175/2896 |   0.67% | 89,600/13,344,228 | 1h42m | 4.559 | — | — | — | —
01:59:45 | 4.4.2 | 1/9 | 200/2896 |   0.77% | 102,400/13,344,228 | 1h42m | 4.703 | — | — | — | —
01:59:51 | 4.4.2 | 1/9 | 225/2896 |   0.86% | 115,200/13,344,228 | 1h42m | 4.414 | — | — | — | —
01:59:57 | 4.4.2 | 1/9 | 250/2896 |   0.96% | 128,000/13,344,228 | 1h42m | 4.445 | — | — | — | —
02:00:03 | 4.4.2 | 1/9 | 275/2896 |   1.06% | 140,800/13,344,228 | 1h42m | 4.729 | — | — | — | —
02:00:09 | 4.4.2 | 1/9 | 300/2896 |   1.15% | 153,600/13,344,228 | 1h41m | 4.505 | — | — | — | —
02:00:15 | 4.4.2 | 1/9 | 325/2896 |   1.25% | 166,400/13,344,228 | 1h41m | 4.759 | — | — | — | —
02:00:20 | 4.4.2 | 1/9 | 350/2896 |   1.34% | 179,200/13,344,228 | 1h41m | 4.888 | — | — | — | —
02:00:26 | 4.4.2 | 1/9 | 375/2896 |   1.44% | 192,000/13,344,228 | 1h41m | 4.551 | — | — | — | —
02:00:32 | 4.4.2 | 1/9 | 400/2896 |   1.53% | 204,800/13,344,228 | 1h41m | 4.714 | — | — | — | —
02:00:38 | 4.4.2 | 1/9 | 425/2896 |   1.63% | 217,600/13,344,228 | 1h41m | 4.535 | — | — | — | —
02:00:44 | 4.4.2 | 1/9 | 450/2896 |   1.73% | 230,400/13,344,228 | 1h41m | 4.726 | — | — | — | —
02:00:50 | 4.4.2 | 1/9 | 475/2896 |   1.82% | 243,200/13,344,228 | 1h40m | 4.514 | — | — | — | —
02:00:56 | 4.4.2 | 1/9 | 500/2896 |   1.92% | 256,000/13,344,228 | 1h40m | 4.372 | — | — | — | —
02:01:02 | 4.4.2 | 1/9 | 525/2896 |   2.01% | 268,800/13,344,228 | 1h40m | 4.721 | — | — | — | —
02:01:08 | 4.4.2 | 1/9 | 550/2896 |   2.11% | 281,600/13,344,228 | 1h40m | 4.968 | — | — | — | —
02:01:14 | 4.4.2 | 1/9 | 575/2896 |   2.21% | 294,400/13,344,228 | 1h40m | 4.626 | — | — | — | —
02:01:20 | 4.4.2 | 1/9 | 600/2896 |   2.30% | 307,200/13,344,228 | 1h40m | 4.644 | — | — | — | —
02:01:26 | 4.4.2 | 1/9 | 625/2896 |   2.40% | 320,000/13,344,228 | 1h40m | 4.765 | — | — | — | —
02:01:32 | 4.4.2 | 1/9 | 650/2896 |   2.49% | 332,800/13,344,228 | 1h40m | 4.366 | — | — | — | —
02:01:38 | 4.4.2 | 1/9 | 675/2896 |   2.59% | 345,600/13,344,228 | 1h40m | 4.834 | — | — | — | —
02:01:44 | 4.4.2 | 1/9 | 700/2896 |   2.69% | 358,400/13,344,228 | 1h40m | 4.665 | — | — | — | —
